class	RF+vehicle	RF+vehicle	RF+vehicle	RF+vehicle	RF+vehicle	RF+vehicle	RF+vehicle	RF+vehicle	RF+Cana	RF+Cana	RF+Cana	RF+Cana	RF+Cana	RF+Cana	RF+Cana	RF+Cana
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Megamonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000125
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Mogibacteriaceae]	0.000375	0.001	0.001	0.001125	0.001375	0.001375	0.00025	0.00075	0.000125	0.000625	0.001375	0.000375	0.0005	0.000125	0.000375	0.00025
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae]|g__Peptoniphilus	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae	0.0005	0.001	0.001	0.0005	0.000375	0.0005	0.000125	0.00025	0.002875	0.001875	0.00225	0.000125	0.00075	0.00025	0.003	0.001875
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Allobaculum	0.0015	0.001625	0.00225	0.004625	0.0035	0.010875	0.003625	0.00675	0.004125	0.0065	0.00375	0.003375	0.000625	0.0005	0.000125	0.000125
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	0	0	0	0	0	0	0	0	0	0.000125	0	0.000125	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.00025	0.000125	0	0.0005	0	0	0	0	0.00025	0	0.001125	0.0005	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	0	0	0.000125	0	0	0	0	0	0	0.000125	0.000125	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	0	0	0	0	0	0.00025	0.000125	0	0.000125	0.00025	0.000125	0	0	0.000125	0	0.000125
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae	0	0	0.000125	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Psychrobacter	0	0	0.000125	0.000125	0	0.000125	0.000125	0	0	0.00025	0.00075	0	0.00025	0	0	0.000125
k__Bacteria|p__TM7|c__TM7-3|Other|Other|Other	0.000625	0.000875	0.000375	0.0005	0	0	0	0.000125	0	0	0	0	0	0	0.000125	0.00025
k__Bacteria|p__TM7|c__TM7-3|o__CW040|f__F16	0.0005	0.001125	0.0005	0.00125	0.001375	0.00025	0.000125	0.001	0	0	0	0	0	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae|g__Anaeroplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Tenericutes|c__Mollicutes|o__RF39	0.0035	0.0015	0.0005	0.003125	0.003875	0.002125	0.0025	0.003	0.001375	0.001625	0.002375	0.001	0.00275	0.00025	0.00075	0.00375
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	0	0.000125	0	0	0	0.000375	0	0.00075	0.0005	0.00025	0.000625	0	0.00275	0.00125	0.000375	0.009625
